"Mass";"Rating";"Type";"Manufacturer";"Model";"Smallest Cam/Wedge (Official)";"Largest Cam/Wedge (Official)";"End-Wise Wedge (Tricam Cam)";;"Color";"Designation"
"1.4  oz";;"SLCD";"Metolius";"TCU";".34 in";".47 in";;;"Gray";0
"1.5  oz";;"SLCD";"Metolius";"TCU";".39 in";".59 in";;;"Purple";0
"1.8  oz";;"SLCD";"Metolius";"TCU";".49 in";".71 in";;;"Blue";1
"2.  oz";;"SLCD";"Metolius";"TCU";".62 in";".89 in";;;"Yellow";2
"2.1  oz";;"SLCD";"Metolius";"TCU";".74 in";"1.04 in";;;"Orange";3
"2.4  oz";;"SLCD";"Metolius";"TCU";".93 in";"1.32 in";;;"Red";4
"2.2  oz";;"SLCD";"Metolius";"Master Cam";".34 in";".47 in";;;"Gray";0
"2.3  oz";;"SLCD";"Metolius";"Master Cam";".39 in";".59 in";;;"Purple";0
"2.4  oz";;"SLCD";"Metolius";"Master Cam";".49 in";".71 in";;;"Blue";1
"2.5  oz";;"SLCD";"Metolius";"Master Cam";".62 in";".89 in";;;"Yellow";2
"2.9  oz";;"SLCD";"Metolius";"Master Cam";".74 in";"1.04 in";;;"Orange";3
"3.2  oz";;"SLCD";"Metolius";"Master Cam";".93 in";"1.32 in";;;"Red";4
"3.5  oz";;"SLCD";"Metolius";"Master Cam";"1.09 in";"1.56 in";;;"Black";5
"3.9  oz";;"SLCD";"Metolius";"Master Cam";"1.28 in";"1.89 in";;;"Green";6
"1.6  oz";"5 kN";"SLCD -  MicroCams";"Metolius";"Power Cam";".34 in";".47 in";;;"Gray";0
"1.7  oz";"5 kN";"SLCD -  MicroCams";"Metolius";"Power Cam";".39 in";".59 in";;;"Purple";0
"1.9  oz";"8  kN";"SLCD";"Metolius";"Power Cam";".625 in";".75 in";;;"Blue";1
"2.3  oz";"10 kN";"SLCD";"Metolius";"Power Cam";".75 in";".9375 in";;;"Yellow";2
"2.4  oz";"10 kN";"SLCD";"Metolius";"Power Cam";".875 in";"1.125 in";;;"Orange";3
"2.7  oz";"10 kN";"SLCD";"Metolius";"Power Cam";"1.125 in";"1.375 in";;;"Red";4
"3.  oz";"10 kN";"SLCD";"Metolius";"Power Cam";"1.1875 in";"1.5 in";;;"Black";5
"3.5  oz";"10 kN";"SLCD";"Metolius";"Power Cam";"1.5 in";"1.875 in";;;"Green";6
"4.5  oz";"10 kN";"SLCD";"Metolius";"Power Cam";"1.75 in";"2.25 in";;;"Blue";7
