,1.4  oz,1.5  oz,1.8  oz,2.  oz,2.1  oz,2.4  oz,2.2  oz,2.3  oz,2.4  oz,2.5  oz,2.9  oz,3.2  oz,3.5  oz,3.9  oz,1.6  oz,1.7  oz,1.9  oz,2.3  oz,2.4  oz,2.7  oz,3.  oz,3.5  oz,4.5  oz,5.3  oz,6.5  oz,9.  oz,11.  oz,1.94  oz,2.01  oz,2.08  oz,2.19  oz,2.33  oz,2.65  oz,2.93  oz,3.49  oz,4.18  oz,4.8  oz,5.47  oz,7.09  oz,10.19  oz,13.4  oz,20.  oz,2.65  oz,2.82  oz,3.07  oz,3.1  oz,3.14  oz,3.28  oz,2.72  oz,2.89  oz,3.32  oz,3.39  oz,3.46  oz,3.6  oz,3.88  oz,4.37  oz,4.87  oz,5.64  oz,6.7  oz,3.42  oz,3.81  oz,4.2  oz,5.22  oz,6.88  oz,9.77  oz,1.8  oz,2.  oz,2.1  oz,2.4  oz,2.6  oz,1.  oz,1.4  oz,1.7  oz,2.2  oz,2.5  oz,2.  oz,2.3  oz,2.5  oz,2.8  oz,4.3  oz,4.5  oz,5.  oz,6.3  oz,8.2  oz,3.42  oz,6.17  oz,7.2  oz,9.28  oz,12.31  oz,24.59  oz,3.35  oz,4.  oz,6.2  oz,7.3  oz,.14  oz,.25  oz,.32  oz,.46  oz,.53  oz,.74  oz,.25  oz,.28  oz,.53  oz,.56  oz,.63  oz,1.1  oz,1.2  oz,1.3  oz,1.4  oz,1.5  oz,1.8  oz,2.  oz,2.5  oz,.67  oz,.78  oz,1.  oz,1.8  oz,1.87  oz,2.26  oz,3.03  oz,3.32  oz,4.37  oz,5.78  oz,7.27  oz,.32  oz,.67  oz,.92  oz,1.24  oz,1.76  oz,1.94  oz,2.72  oz,3.18  oz,4.13  oz,4.23  oz,4.87  oz,7.06  oz,9.31  oz,4.23  oz,,,,,,,,,,,,
"Rack Sizes",,,,,,,,,,,,,,,"5 kN","5 kN","8  kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","12 kN","12 kN","12 kN","4 kN","6 kN","7 kN","10 kN","10 kN","8 kN","10 kN","12 kN","14 kN","14 kN","14 kN","14 kN","14 kN","14 kN","14 kN",75,80,87,88,89,93,,,,,,,,,,,,,,,,,,"8 kN","8 kN","9 kN","9 kN","9 kN","4 kN","8 kN","8 kN","8 kN","8 kN","8 kN","9 kN","9 kN","9 kN","12 kN","12 kN","12 kN","12 kN","12 kN","15 kN","15 kN","15 kN","15 kN","15 kN","15 kN","9 kN","10 kN","14 kN","14 kN","2 kN","3 kN","5 kN","6 kN","6 kN","8 kN","2 kN","2 kN","5 kN","6 kN","6 kN","6 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","6 kN","6 kN","6 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","10 kN","2 kN","3 kN","6 kN","8 kN","12 kN","12 kN","14 kN","14 kN","16 kN","16 kN","22 kN","18 kN","16 kN",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"SLCD -  MicroCams",,"SLCD",,,,,,,,"SLCD - Expanded Range",,,"SLCD -  MicroCams",,,,,"SLCD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ball Nutz",,,,,,,,,,,,,,"Big Bros",,,,,,"SLCD - Expanded Range",,,,"MicroNuts/RPS",,,,,,"Nuts",,,,,,,,,,,,,"Hexes",,,,,,,,,,,"Tricam",,,,,,,,,,,,,,,,,,,,,,,,,
,"Metolius",,,,,,"Metolius",,,,,,,,"Metolius",,,,,,,,,,"Metolius",,,"Black Diamond",,,,,"Black Diamond",,,,,,,,,,"DMM",,,,,,"DMM",,,,,,,,,,,"DMM",,,,,,"Trango",,,,,"Trango",,,,,"Trango",,,,,,,,,"Trango",,,,,,"Omega Pacific",,,,"Black Diamond",,,,,,"Black Diamond",,,,,,,,,,,,,"Black Diamond",,,,,,,,,,,"Camp",,,,,,,,,,,,,,,,,,,,,,,,,
,"Metolius (TCU)",,,,,,"Metolius (Master Cam)",,,,,,,,"Metolius (Power Cam)",,,,,,,,,,"Metolius (Super Cam)",,,"Black Diamond (Camalot C3)",,,,,"Black Diamond (Camalots C4)",,,,,,,,,,"DMM (3CU )",,,,,,"DMM (4CU)",,,,,,,,,,,"DMM (Dragon Cams)",,,,,,"Trango (Splitter 4 Cams)",,,,,"Ball Nutz (3)",,,,,"FlexCam (3)",,,,,,,,,"Big Bros (3)",,,,,,"Omega Pacific (Link Cam)",,,,"Micro-Stoppers (Trapezoidal) (1)",,,,,,"Stoppers (1)",,,,,,,,,,,,,"Hexes (1)",,,,,,,,,,,"Tricam (2)",,,,,,,,,,,,,,,,,,,,,,,,,
"Smallest Cam/Wedge (Official)",.34 in,.39 in,.49 in,.62 in,.74 in,.93 in,.34 in,.39 in,.49 in,.62 in,.74 in,.93 in,1.09 in,1.28 in,.34 in,.39 in,.625 in,.75 in,.875 in,1.125 in,1.1875 in,1.5 in,1.75 in,2.25 in,1.75 in,2.375 in,3.125 in,.3 in,.35 in,.42 in,.47 in,.56 in,.54 in,.61 in,.77 in,.94 in,1.19 in,1.46 in,2.25 in,3. in,4. in,5. in,.5118 in,.6693 in,.748 in,.8268 in,.9055 in,1.1875 in,.5118 in,.6693 in,.748 in,.8268 in,.9055 in,1.1875 in,1.1417 in,1.2992 in,1.6929 in,2.0079 in,2.5197 in,.7874 in,.9449 in,1.1417 in,1.4961 in,1.9685 in,2.6772 in,.4 in,.5 in,.6 in,.8 in,1. in,.12 in,.18 in,.24 in,.35 in,.43 in,.55 in,.65 in,.8 in,1.1 in,1.2 in,1.4 in,1.8 in,2.25 in,2.7 in,2.7 in,3.2 in,4. in,5.3 in,7.5 in,11.3 in,.655 in,.825 in,.955 in,1.085 in,.147 in,.182 in,.202 in,.233 in,.29 in,.345 in,.17 in,.19 in,.24 in,.27 in,.33 in,.4 in,.46 in,.53 in,.6 in,.68 in,.79 in,.9 in,1.04 in,.45 in,.55 in,.66 in,.81 in,.94 in,1.07 in,1.3 in,1.54 in,1.85 in,2.19 in,2.56 in,.3937 in,.5315 in,.6299 in,.7874 in,1.0236 in,1.1417 in,1.2598 in,1.4961 in,1.6142 in,1.7717 in,2.2441 in,2.874 in,3.622 in,,.4375 in,.75 in,.8125 in,,,.8125 in,.9375 in,1.0625 in,1.2813 in,1.5 in,1.8125 in,2.125 in
"Largest Cam/Wedge (Official)",.47 in,.59 in,.71 in,.89 in,1.04 in,1.32 in,.47 in,.59 in,.71 in,.89 in,1.04 in,1.32 in,1.56 in,1.89 in,.47 in,.59 in,.75 in,.9375 in,1.125 in,1.375 in,1.5 in,1.875 in,2.25 in,2.75 in,2.5 in,3.25 in,4.125 in,.5 in,.54 in,.62 in,.74 in,.89 in,.92 in,1.05 in,1.32 in,1.62 in,2.05 in,2.55 in,3. in,4. in,5. in,7. in,.748 in,.9449 in,1.1417 in,1.2992 in,1.378 in,1.5 in,.748 in,.9449 in,1.1417 in,1.2992 in,1.378 in,1.5 in,1.7323 in,2.1654 in,2.5984 in,3.2283 in,3.937 in,1.2992 in,1.6142 in,1.9685 in,2.5197 in,3.3465 in,4.4882 in,.6 in,.7 in,.9 in,1.1 in,1.4 in,.24 in,.35 in,.47 in,.51 in,.59 in,.7 in,.8 in,1.1 in,1.3 in,1.7 in,2.2 in,2.7 in,3.4 in,4.3 in,3.4 in,4.3 in,5.7 in,8. in,12. in,18.4 in,1.13 in,1.5 in,1.85 in,2.26 in,.2 in,.255 in,.33 in,.33 in,.37 in,.41 in,.36 in,.39 in,.45 in,.49 in,.53 in,.61 in,.64 in,.72 in,.82 in,.92 in,1.05 in,1.2 in,1.38 in,,,,,,,,,,,,.5906 in,.9843 in,1.1024 in,1.1811 in,1.4961 in,1.6142 in,1.8898 in,2.126 in,2.3622 in,2.5197 in,3.5039 in,4.1339 in,5.5118 in,,.8125 in,1.0625 in,1.3125 in,,,.875 in,1. in,1.1875 in,1.4375 in,1.6875 in,2. in,2.375 in
"End-Wise Wedge (Tricam Cam)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mm",.0394 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.75 in,.82 in,.96 in,1.1 in,1.3 in,1.54 in,1.8 in,2.13 in,2.51 in,2.96 in,3.91 in,,,,,,,,,,,,,,,.9375 in,1. in,1.1875 in,,,1.125 in,1.1875 in,1.375 in,1.625 in,1.875 in,2.5625 in,3. in
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"g",.0353 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0625 in,1.25 in,1.6875 in,,,,,,,,,
"Color","Gray","Purple","Blue","Yellow","Orange","Red","Gray","Purple","Blue","Yellow","Orange","Red","Black","Green","Gray","Purple","Blue","Yellow","Orange","Red","Black","Green","Blue","Purple","Silver","Bergundy","Blue","Gray","Purple","Green","Red","Yellow","Blue","Silver","Purple","Copper","Red","Yellow","Blue","Silver","Purple","Copper","Purple","Green","Blue","Silver","Gold","Red","Blue","Purple","Green","Blue","Silver","Gold","Red","Gold","Purple","Blue","Silver","Purple","Green","Red","Gold","Blue","Silver","Red","Yellow","Blue","Purple","Green","Blue","Red","Gold","Green","Purple","Yellow","Blue","Purple","Green","Red","Yellow","Blue","Gray","Purple","Silver","Red","Purple","Green","Blue","Gold","Purple","Green","Red","Gold",,,,,,,,,,,,,,,,,,,,"Black","Gold","Red","Red","Black","Gold","Red","Black","Gold","Red","Black","White","Black","Pink","Red","Brown","Purple","Blue","Navy White","Green","Green","Orange","Yellow","Gold",,"Pink","Red","Brown",,,"Red","Black","Gold","Red","Black","Gold","Red"
